,planet_name,star_name,M_p
0,GJ 1132 b,,1.659002009377093
1,GJ 1252 b,,2.091232417950435
2,GJ 273 b,,2.9302679169457466
3,GJ 273 c,,1.188633623576691
4,GJ 3473 b,,1.859226389819156
5,GJ 357 b,,2.0867829872739447
6,GJ 367  b,,0.1493737441393168
7,GJ 3929 b,,1.2108807769591425
8,GJ 486 b,,2.819032150033489
9,GJ 9827 c,,1.919611520428667
10,HD 260655 b,,2.1389048894842597
11,K0I-4777,,0.34006363027461484
12,K2-133 b, 2MASS 04403562+2500361,2.1929336905559276
13,K2-138 f, 2MASS 23154776-1050590,1.589082384460817
14,K2-229 b,2MASS 12272958-0643188,2.5902042866711312
15,K2-239 b, 2MASS 10422263+0426287,1.398392498325519
16,K2-239 c, 2MASS 10422263+0426287,0.8898861352980576
17,K2-239 d, 2MASS 10422263+0426287,1.30304755525787
18,K2-266 c,2MASS 10314450+0056152,0.2892129939718687
19,K2-3 c, 2MASS 11292037-0127173,2.1389048894842597
20,K2-3 d, 2MASS 11292037-0127173,2.7999631614199596
21,K2-32 e, 2MASS 16494226-1932340,2.0975887474882784
22,KMT-2020-BLG-0414 b,,1.2108807769591425
23,KOI-2700 b,,0.8612826523777628
24,KOI-55 b, 2MASS 19452546+4105339,0.4449430676490288
25,KOI-55 c, 2MASS 19452546+4105339,0.6674146014735431
26,Kepler-11 b,2MASS 19482762+4154328,1.9068988613529807
27,Kepler-11 c,2MASS 19482762+4154328,2.8603482920294705
28,Kepler-11 f,2MASS 19482762+4154328,1.9068988613529807
29,Kepler-114 c,2MASS 19362914+4820582,2.8603482920294705
30,Kepler-128 b,2MASS 18495813+4358487,0.7691158740790354
31,Kepler-128 c,2MASS 18495813+4358487,0.8994206296048224
32,Kepler-138 c, 2MASS 19213157+4317347,1.970462156731413
33,Kepler-138 d, 2MASS 19213157+4317347,0.6388111185532485
34,Kepler-167 d,2MASS 19303802+3820434,1.9068988613529807
35,Kepler-406 c, 2MASS 19272353+4458056,2.8603482920294705
36,Kepler-42 b,2MASS 19285255+4437096,2.8603482920294705
37,Kepler-42 c,2MASS 19285255+4437096,1.9068988613529807
38,Kepler-42 d,2MASS 19285255+4437096,0.9534494306764904
39,Kepler-446 c,2MASS 18490005+4455160,2.8603482920294705
40,Kepler-51 b,2MASS 19455514+4956156,2.224715338245144
41,Kepler-68 c,2MASS 19240775+4902249,2.0403817816476892
42,Kepler-78 b,2MASS 19345800+4426539,1.9672839919624916
43,L 98-59 b,,0.4131614199598124
44,L 98-59 c,,2.2183590087073006
45,L 98-59 d,,1.938680509042197
46,LHS 1140 c,,1.8083757535164098
47,LHS 1478 b,,2.3295947756195576
48,LHS 1678 c,,0.39091426657736095
49,LTT 1445A b,,2.8698827863362353
50,LTT 1445A c,,1.5414099129269925
51,OGLE-2013-BLG-0341L b,,1.659929369917418
52,OGLE-2019-BLG-0960 b,,2.250140656396517
53,OGLE-2019-BLG-1053L b,,2.4789685197588747
54,TOI-1064 c,,2.5107501674480908
55,TOI-1442 b,,1.589082384460817
56,TOI-1693 b,,2.796784996651038
57,TOI-178 b,,1.5000937709310114
58,TOI-1860 b,,2.1929336905559276
59,TOI-206 b,,2.1929336905559276
60,TOI-237 b,,2.8603482920294705
61,TOI-2445 b,,1.9068988613529807
62,TOI-270 b,,1.9068988613529807
63,TOI-500 b,,1.589082384460817
64,TOI-561 b,,1.589082384460817
65,TOI-700 b,,1.2903348961821834
66,TOI-700 d,,2.2596751507032815
67,TOI-833 b,,1.9068988613529807
68,TRAPPIST-1 b,2MASS 23062928-0502285,0.8581044876088412
69,TRAPPIST-1 c,2MASS 23062928-0502285,1.3793235097119891
70,TRAPPIST-1 d,2MASS 23062928-0502285,0.4131614199598124
71,TRAPPIST-1 e,2MASS 23062928-0502285,0.6356329537843268
72,TRAPPIST-1 f,2MASS 23062928-0502285,0.6674146014735431
73,TRAPPIST-1 g,2MASS 23062928-0502285,1.3411855324849296
74,TRAPPIST-1 h,2MASS 23062928-0502285,0.3308469524447421
